月份,层数,商铺名称,销售额,总租金,租售比,销售坪效,平均租金,商铺面积,一级业态,二级业态,三级业态,合同起始日期,合同结束日期,扣点方式,扣率,合同期限,商铺面积,平均租金
2014年11月,负一层,淘果乐&冰期时代,"81,276 ","13,053 ",16%,1992.0588 ,320 ,40.8,餐饮,轻餐,小吃/冷饮/果汁吧,2013/7/1,2015/7/5,保底与流水两者取高,0.13,2,40.8,320 
2014年11月,负一层,Car's Home 卡士通,"51,582 ","15,779 ",31%,236.1813 ,72 ,218.4,其它,配套服务,汽车美容,2013/9/20,2016/9/19,纯保底,0,2,218.4,72 
2014年12月,负一层,曼诺莎,"48,676 ","14,398 ",30%,845.0625 ,250 ,57.6,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/3/22,2015/5/9,纯保底,0.15,2,57.6,250 
2014年12月,负一层,尊和名品,"399,802 ","17,951 ",4%,7242.7935 ,325 ,55.2,其它,其它的其它,烟/酒/茶,2012/12/12,2015/5/9,保底与流水两者取高,0.03,2,55.2,325 
2014年12月,负一层,一席地,"342,736 ","41,677 ",12%,1357.0892 ,165 ,252.552,餐饮,正餐,餐馆/饭店,2012/12/25,2018/5/9,保底与流水两者取高,0.08,5,252.552,165 
2014年12月,负一层,casa miel,"317,315 ","27,765 ",9%,2115.4360 ,185 ,150,餐饮,正餐,餐馆/饭店,2013/1/25,2018/5/9,保底与流水两者取高,0.08,5,150,185 
2014年12月,负一层,咬不得,"557,442 ","59,981 ",11%,1701.5934 ,183 ,327.6,餐饮,正餐,快餐,2013/4/5,2018/6/3,保底与流水两者取高,0.09,5,327.6,183 
2014年12月,负一层,厚道青转小火锅,"378,991 ","47,184 ",12%,2037.5840 ,254 ,186,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/9,保底与流水两者取高,0.1,5,186,254 
2014年12月,负一层,Xiang Wang 象王洗衣,"29,377 ","5,399 ",18%,979.2200 ,180 ,30,其它,配套服务,洗衣店,2014/4/1,2015/3/31,纯保底,0,0,30,180 
2014年12月,负一层,华数,"161,742 ","5,402 ",3%,11232.1108 ,375 ,14.4,其它,配套服务,通讯服务,2014/5/28,2015/5/27,纯保底,0,0,14.4,375 
2014年12月,负一层,中国旅行社,"295,420 ","5,406 ",2%,20515.2500 ,375 ,14.4,其它,配套服务,旅行社,2014/6/3,2015/6/2,纯保底,0,0,14.4,375 
2014年12月,负一层,维果部落(B1-K07),"21,600 ","2,160 ",10%,9000.0000 ,900 ,2.4,餐饮,轻餐,小吃/冷饮/果汁吧,2014/6/22,2015/6/21,保底(含物管费)与流水两者取高,0.1,0,2.4,900 
2014年12月,负一层,藏鼎堂,"24,604 ","6,001 ",24%,1366.8667 ,333 ,18,其它,其它的其它,药房/保健品,2013/6/10,2015/9/30,纯保底,0,2,18,333 
2014年12月,负一层,臻世海参,"56,288 ","6,361 ",11%,2680.4000 ,303 ,21,其它,其它的其它,药房/保健品,2013/9/30,2015/9/29,保底与流水两者取高,0.07,1,21,303 
2014年12月,负一层,Car's Home 卡士通,"89,461 ","15,781 ",18%,409.6209 ,72 ,218.4,其它,配套服务,汽车美容,2013/9/20,2016/9/19,纯保底,0,2,218.4,72 
