读者ID,读者类型,性别,单位, 
1407AD140202,本科生,女,计2014-2, 
1407AD140204,本科生,女,计2014-2, 
1407AD140205,本科生,女,计2014-2, 
1407AD140206,本科生,女,计2014-2, 
1407AD140207,本科生,女,计2014-2, 
1407AD140208,本科生,女,计2014-2, 
1407AD140209,本科生,女,计2014-2, 
1407AD140210,本科生,男,计2014-2, 
1407AD140211,本科生,男,计2014-2, 
1407AD140212,本科生,男,计2014-2, 
1407AD140213,本科生,男,计2014-2, 
1407AD140215,本科生,男,计2014-2, 
1407AD140218,本科生,男,计2014-2, 
1407AD140221,本科生,男,计2014-2, 
1407AD140222,本科生,男,计2014-2, 
1407AD140224,本科生,男,计2014-2, 
1407AD140225,本科生,男,计2014-2, 
1407AD140301,本科生,女,计2014-3, 
1407AD140302,本科生,女,计2014-3, 
1407AD140303,本科生,女,计2014-3, 
1407AD140304,本科生,女,计2014-3, 
1407AD140305,本科生,女,计2014-3, 
1407AD140306,本科生,女,计2014-3, 
1407AD140307,本科生,女,计2014-3, 
1407AD140309,本科生,女,计2014-3, 
1407AD140310,本科生,男,计2014-3, 
1407AD140312,本科生,男,计2014-3, 
1407AD140314,本科生,男,计2014-3, 
1407AD140315,本科生,男,计2014-3, 
1407AD140316,本科生,男,计2014-3, 
1407AD140317,本科生,男,计2014-3, 
1407AD140318,本科生,男,计2014-3, 
1407AD140320,本科生,男,计2014-3, 
1407AD140322,本科生,男,计2014-3, 
1407AD140323,本科生,男,计2014-3, 
1407AD140324,本科生,男,计2014-3, 
1407AD140325,本科生,男,计2014-3, 
1407AD140326,本科生,男,计2014-3, 
1407AD140401,本科生,女,计2014-4, 
1407AD140402,本科生,女,计2014-4, 
1407AD140403,本科生,女,计2014-4, 
1407AD140404,本科生,女,计2014-4, 
1407AD140405,本科生,女,计2014-4, 
1407AD140406,本科生,女,计2014-4, 
1407AD140407,本科生,女,计2014-4, 
1407AD140409,本科生,女,计2014-4, 
1407AD140410,本科生,男,计2014-4, 
1407AD140411,本科生,男,计2014-4, 
1407AD140412,本科生,男,计2014-4, 
1407AD140413,本科生,男,计2014-4, 
1407AD140414,本科生,男,计2014-4, 
1407AD140415,本科生,男,计2014-4, 
1407AD140418,本科生,男,计2014-4, 
1407AD140419,本科生,男,计2014-4, 
1407AD140421,本科生,男,计2014-4, 
1407AD140422,本科生,男,计2014-4, 
1407AD140423,本科生,男,计2014-4, 
1407AD140424,本科生,男,计2014-4, 
1407AD140425,本科生,男,计2014-4, 
1407AD140426,本科生,男,计2014-4, 
1407AD140502,本科生,女,计2014-5, 
1407AD140504,本科生,女,计2014-5, 
1407AD140506,本科生,女,计2014-5, 
1407AD140508,本科生,女,计2014-5, 
1407AD140509,本科生,女,计2014-5, 
1407AD140510,本科生,女,计2014-5, 
1407AD140511,本科生,女,计2014-5, 
1407AD140512,本科生,女,计2014-5, 
1407AD140513,本科生,女,计2014-5, 
1407AD140514,本科生,女,计2014-5, 
1407AD140515,本科生,女,计2014-5, 
1407AD140516,本科生,女,计2014-5, 
1407AD140517,本科生,女,计2014-5, 
1407AD140518,本科生,男,计2014-5, 
1407AD140522,本科生,男,计2014-5, 
1407AD140527,本科生,男,计2014-5, 
1407AD140528,本科生,男,计2014-5, 
1407AD140529,本科生,男,计2014-5, 
1407AD140530,本科生,男,计2014-5, 
1407AD240101,本科生,女,教2014-1, 
1407AD240102,本科生,女,教2014-1, 
1407AD240104,本科生,女,教2014-1, 
1407AD240106,本科生,女,教2014-1, 
1407AD240107,本科生,女,教2014-1, 
1407AD240108,本科生,女,教2014-1, 
1407AD240109,本科生,女,教2014-1, 
1407AD240110,本科生,女,教2014-1, 
1407AD240111,本科生,男,教2014-1, 
1407AD240113,本科生,男,教2014-1, 
1407AD240114,本科生,男,教2014-1, 
1407AD240115,本科生,男,教2014-1, 
1407AD240116,本科生,男,教2014-1, 
1407AD240117,本科生,男,教2014-1, 
1407AD240118,本科生,男,教2014-1, 
1407AD240120,本科生,男,教2014-1, 
1407AD240124,本科生,男,教2014-1, 
1407AD240126,本科生,男,教2014-1, 
1407AE140104,本科生,女,物联2014-1, 
1407AE140106,本科生,女,物联2014-1, 
1407AE140107,本科生,女,物联2014-1, 
1407AE140109,本科生,女,物联2014-1, 
1407AE140111,本科生,女,物联2014-1, 
1407AE140112,本科生,男,物联2014-1, 
1407AE140113,本科生,男,物联2014-1, 
1407AE140116,本科生,男,物联2014-1, 
1407AE140118,本科生,男,物联2014-1, 
1407AE140119,本科生,男,物联2014-1, 
1407AE140121,本科生,男,物联2014-1, 
1407AE140124,本科生,男,物联2014-1, 
1407AE140126,本科生,男,物联2014-1, 
1407AE140127,本科生,男,物联2014-1, 
1407AE140128,本科生,男,物联2014-1, 
1407AE140129,本科生,男,物联2014-1, 
1407AE140130,本科生,男,物联2014-1, 
1407AE140201,本科生,女,物联2014-2, 
1407AE140202,本科生,女,物联2014-2, 
1407AE140203,本科生,女,物联2014-2, 
1407AE140204,本科生,女,物联2014-2, 
1407AE140205,本科生,女,物联2014-2, 
1407AE140206,本科生,女,物联2014-2, 
1407AE140208,本科生,女,物联2014-2, 
1407AE140210,本科生,女,物联2014-2, 
1407AE140211,本科生,男,物联2014-2, 
1407AE140212,本科生,男,物联2014-2, 
1407AE140213,本科生,男,物联2014-2, 
1407AE140215,本科生,男,物联2014-2, 
1407AE140219,本科生,男,物联2014-2, 
1407AE140222,本科生,男,物联2014-2, 
1407AE140223,本科生,男,物联2014-2, 
1407AE140226,本科生,男,物联2014-2, 
1407AE140227,本科生,男,物联2014-2, 
1407AE140229,本科生,男,物联2014-2, 
1408AC140101,本科生,女,营销2014-1, 
1408AC140103,本科生,女,营销2014-1, 
1408AC140104,本科生,女,营销2014-1, 
1408AC140105,本科生,女,营销2014-1, 
1408AC140106,本科生,女,营销2014-1, 
1408AC140107,本科生,女,营销2014-1, 
1408AC140108,本科生,女,营销2014-1, 
1408AC140111,本科生,女,营销2014-1, 
1408AC140112,本科生,女,营销2014-1, 
1408AC140113,本科生,女,营销2014-1, 
1408AC140114,本科生,女,营销2014-1, 
1408AC140115,本科生,女,营销2014-1, 
1408AC140119,本科生,男,营销2014-1, 
1408AC140121,本科生,男,营销2014-1, 
1408AC140122,本科生,男,营销2014-1, 
1408AC140123,本科生,男,营销2014-1, 
1408AC140125,本科生,男,营销2014-1, 
1408AC140126,本科生,男,营销2014-1, 
1408AC240101,本科生,女,商管2014-1, 
1408AC240102,本科生,女,商管2014-1, 
1408AC240103,本科生,女,商管2014-1, 
1408AC240104,本科生,女,商管2014-1, 
1408AC240105,本科生,女,商管2014-1, 
1408AC240106,本科生,女,商管2014-1, 
1408AC240107,本科生,女,商管2014-1, 
1408AC240108,本科生,女,商管2014-1, 
1408AC240109,本科生,女,商管2014-1, 
1408AC240111,本科生,女,商管2014-1, 
1408AC240113,本科生,女,商管2014-1, 
1408AC240114,本科生,女,商管2014-1, 
1408AC240115,本科生,女,商管2014-1, 
1408AC240116,本科生,女,商管2014-1, 
1408AC240119,本科生,男,商管2014-1, 
1408AC240120,本科生,男,商管2014-1, 
1408AC240122,本科生,男,商管2014-1, 
1408AC240123,本科生,男,商管2014-1, 
1408AC240124,本科生,男,商管2014-1, 
1408AC240125,本科生,男,商管2014-1, 
1408AC240126,本科生,男,商管2014-1, 
1408AC240127,本科生,男,商管2014-1, 
1408AC240128,本科生,男,商管2014-1, 
1408AC240129,本科生,男,商管2014-1, 
1408AC240130,本科生,男,商管2014-1, 
1408AC340101,本科生,女,国贸2014-1, 
1408AC340102,本科生,女,国贸2014-1, 
1408AC340103,本科生,女,国贸2014-1, 
1408AC340104,本科生,女,国贸2014-1, 
1408AC340106,本科生,女,国贸2014-1, 
1408AC340107,本科生,女,国贸2014-1, 
1408AC340108,本科生,女,国贸2014-1, 
1408AC340110,本科生,女,国贸2014-1, 
1408AC340112,本科生,女,国贸2014-1, 
1408AC340113,本科生,女,国贸2014-1, 
1408AC340114,本科生,女,国贸2014-1, 
1408AC340115,本科生,女,国贸2014-1, 
1408AC340116,本科生,男,国贸2014-1, 
1408AC340117,本科生,男,国贸2014-1, 
1408AC340118,本科生,男,国贸2014-1, 
1408AC340119,本科生,男,国贸2014-1, 
1408AC340121,本科生,男,国贸2014-1, 
1408AC340122,本科生,男,国贸2014-1, 
1408AC340123,本科生,男,国贸2014-1, 
1408AC340126,本科生,男,国贸2014-1, 
1408AC340130,本科生,男,国贸2014-1, 
1408AC440101,本科生,女,工管2014-1, 
1408AC440102,本科生,女,工管2014-1, 
1408AC440103,本科生,女,工管2014-1, 
1408AC440104,本科生,女,工管2014-1, 
1408AC440105,本科生,女,工管2014-1, 
1408AC440107,本科生,女,工管2014-1, 
1408AC440109,本科生,女,工管2014-1, 
1408AC440110,本科生,女,工管2014-1, 
1408AC440111,本科生,女,工管2014-1, 
1408AC440114,本科生,男,工管2014-1, 
1408AC440115,本科生,男,工管2014-1, 
1408AC440116,本科生,男,工管2014-1, 
1408AC440117,本科生,男,工管2014-1, 
1408AC440118,本科生,男,工管2014-1, 
1408AC440120,本科生,男,工管2014-1, 
1408AC440122,本科生,男,工管2014-1, 
1408AC440123,本科生,男,工管2014-1, 
1408AC440124,本科生,男,工管2014-1, 
1408AC440125,本科生,男,工管2014-1, 
1408AC440126,本科生,男,工管2014-1, 
1408AC440127,本科生,男,工管2014-1, 
1408AC440128,本科生,男,工管2014-1, 
1408AC440202,本科生,女,工管2014-2, 
1408AC440203,本科生,女,工管2014-2, 
1408AC440204,本科生,女,工管2014-2, 
1408AC440206,本科生,女,工管2014-2, 
1408AC440207,本科生,女,工管2014-2, 
1408AC440208,本科生,女,工管2014-2, 
1408AC440209,本科生,女,工管2014-2, 
1408AC440210,本科生,女,工管2014-2, 
1408AC440211,本科生,女,工管2014-2, 
1408AC440213,本科生,女,工管2014-2, 
1408AC440214,本科生,女,工管2014-2, 
1408AC440218,本科生,男,工管2014-2, 
1408AC440219,本科生,男,工管2014-2, 
1408AC440221,本科生,男,工管2014-2, 
1408AC440222,本科生,男,工管2014-2, 
1408AC440223,本科生,男,工管2014-2, 
1408AC440225,本科生,男,工管2014-2, 
1408AC440227,本科生,男,工管2014-2, 
1408AC440228,本科生,男,工管2014-2, 
1408AC440229,本科生,男,工管2014-2, 
1408AC640101,本科生,女,人资2014-1, 
1408AC640102,本科生,女,人资2014-1, 
1408AC640103,本科生,女,人资2014-1, 
1408AC640104,本科生,女,人资2014-1, 
1408AC640106,本科生,女,人资2014-1, 
1408AC640107,本科生,女,人资2014-1, 
1408AC640108,本科生,女,人资2014-1, 
1408AC640109,本科生,女,人资2014-1, 
1408AC640110,本科生,女,人资2014-1, 
1408AC640111,本科生,女,人资2014-1, 
1408AC640112,本科生,女,人资2014-1, 
1408AC640113,本科生,女,人资2014-1, 
1408AC640114,本科生,女,人资2014-1, 
1408AC640115,本科生,女,人资2014-1, 
1408AC640117,本科生,女,人资2014-1, 
1408AC640118,本科生,女,人资2014-1, 
1408AC640119,本科生,女,人资2014-1, 
1408AC640120,本科生,女,人资2014-1, 
1408AC640121,本科生,女,人资2014-1, 
1408AC640124,本科生,男,人资2014-1, 
1408AC640126,本科生,男,人资2014-1, 
1408AC640127,本科生,男,人资2014-1, 
1408AC640129,本科生,男,人资2014-1, 
1408AC940101,本科生,女,旅游2014-1, 
1408AC940103,本科生,女,旅游2014-1, 
1408AC940106,本科生,女,旅游2014-1, 
1408AC940107,本科生,女,旅游2014-1, 
1408AC940113,本科生,女,旅游2014-1, 
1408AC940114,本科生,女,旅游2014-1, 
1408AC940116,本科生,女,旅游2014-1, 
1408AC940117,本科生,男,旅游2014-1, 
1408AC940118,本科生,男,旅游2014-1, 
1408AC940120,本科生,男,旅游2014-1, 
1408AC940121,本科生,男,旅游2014-1, 
1408AD140101,本科生,女,会2014-1, 
1408AD140102,本科生,女,会2014-1, 
1408AD140105,本科生,女,会2014-1, 
1408AD140106,本科生,女,会2014-1, 
1408AD140107,本科生,女,会2014-1, 
1408AD140114,本科生,女,会2014-1, 
1408AD140116,本科生,女,会2014-1, 
1408AD140117,本科生,女,会2014-1, 
1408AD140118,本科生,女,会2014-1, 
1408AD140122,本科生,女,会2014-1, 
1408AD140123,本科生,男,会2014-1, 
1408AD140126,本科生,男,会2014-1, 
1408AD140201,本科生,女,会2014-2, 
1408AD140202,本科生,女,会2014-2, 
1408AD140203,本科生,女,会2014-2, 
1408AD140205,本科生,女,会2014-2, 
1408AD140206,本科生,女,会2014-2, 
1408AD140207,本科生,女,会2014-2, 
1408AD140208,本科生,女,会2014-2, 
1408AD140209,本科生,女,会2014-2, 
1408AD140210,本科生,女,会2014-2, 
1408AD140214,本科生,女,会2014-2, 
1408AD140216,本科生,女,会2014-2, 
1408AD140221,本科生,女,会2014-2, 
1408AD140224,本科生,男,会2014-2, 
1408AD140226,本科生,男,会2014-2, 
1408AD140227,本科生,男,会2014-2, 
1408AD140302,本科生,女,会2014-3, 
1408AD140303,本科生,女,会2014-3, 
1408AD140304,本科生,女,会2014-3, 
1408AD140305,本科生,女,会2014-3, 
1408AD140306,本科生,女,会2014-3, 
1408AD140307,本科生,女,会2014-3, 
1408AD140308,本科生,女,会2014-3, 
1408AD140309,本科生,女,会2014-3, 
1408AD140310,本科生,女,会2014-3, 
1408AD140311,本科生,女,会2014-3, 
1408AD140312,本科生,女,会2014-3, 
1408AD140313,本科生,女,会2014-3, 
1408AD140315,本科生,女,会2014-3, 
1408AD140316,本科生,女,会2014-3, 
1408AD140317,本科生,女,会2014-3, 
1408AD140318,本科生,女,会2014-3, 
1408AD140319,本科生,女,会2014-3, 
1408AD140320,本科生,女,会2014-3, 
1408AD140321,本科生,女,会2014-3, 
1408AD140322,本科生,女,会2014-3, 
1408AD140323,本科生,男,会2014-3, 
1408AD140328,本科生,男,会2014-3, 
1408AD140401,本科生,女,会2014-4, 
1408AD140405,本科生,女,会2014-4, 
1408AD140409,本科生,女,会2014-4, 
1408AD140413,本科生,女,会2014-4, 
1408AD140420,本科生,女,会2014-4, 
1408AD140421,本科生,女,会2014-4, 
1408AD140422,本科生,女,会2014-4, 
1408AD140423,本科生,女,会2014-4, 
1408AD140426,本科生,男,会2014-4, 
1408AD140427,本科生,男,会2014-4, 
1408AD140507,本科生,女,会2014-5, 
1408AD140510,本科生,女,会2014-5, 
1408AD140511,本科生,女,会2014-5, 
1408AD140512,本科生,女,会2014-5, 
1408AD140523,本科生,女,会2014-5, 
1408AD140525,本科生,女,会2014-5, 
1408AD140529,本科生,男,会2014-5, 
1408AD140530,本科生,男,会2014-5, 
1408AD240101,本科生,女,财管2014-1, 
1408AD240102,本科生,女,财管2014-1, 
1408AD240103,本科生,女,财管2014-1, 
1408AD240104,本科生,女,财管2014-1, 
1408AD240105,本科生,女,财管2014-1, 
1408AD240106,本科生,女,财管2014-1, 
1408AD240108,本科生,女,财管2014-1, 
1408AD240112,本科生,女,财管2014-1, 
1408AD240115,本科生,女,财管2014-1, 
1408AD240117,本科生,女,财管2014-1, 
1408AD240119,本科生,女,财管2014-1, 
1408AD240124,本科生,女,财管2014-1, 
1408AD240126,本科生,女,财管2014-1, 
1408AD240127,本科生,男,财管2014-1, 
1408AD240128,本科生,男,财管2014-1, 
1408AD240133,本科生,男,财管2014-1, 
1408AD240201,本科生,女,财管2014-2, 
1408AD240204,本科生,女,财管2014-2, 
1408AD240205,本科生,女,财管2014-2, 
1408AD240206,本科生,女,财管2014-2, 
1408AD240207,本科生,女,财管2014-2, 
1408AD240208,本科生,女,财管2014-2, 
1408AD240209,本科生,女,财管2014-2, 
1408AD240212,本科生,女,财管2014-2, 
1408AD240218,本科生,女,财管2014-2, 
1408AD240219,本科生,女,财管2014-2, 
1408AD240220,本科生,女,财管2014-2, 
1408AD240221,本科生,女,财管2014-2, 
1408AD240222,本科生,女,财管2014-2, 
1408AD240223,本科生,女,财管2014-2, 
1408AD240226,本科生,男,财管2014-2, 
1408AD240228,本科生,男,财管2014-2, 
1408AD240230,本科生,男,财管2014-2, 
1408AD240232,本科生,男,财管2014-2, 
1408AD240233,本科生,男,财管2014-2, 
1408AF640103,本科生,女,经2014-1, 
1408AF640104,本科生,女,经2014-1, 
1408AF640105,本科生,女,经2014-1, 
1408AF640106,本科生,女,经2014-1, 
1408AF640107,本科生,女,经2014-1, 
1408AF640108,本科生,女,经2014-1, 
1408AF640109,本科生,女,经2014-1, 
1408AF640111,本科生,女,经2014-1, 
1408AF640112,本科生,女,经2014-1, 
1408AF640113,本科生,女,经2014-1, 
1408AF640114,本科生,女,经2014-1, 
1408AF640116,本科生,女,经2014-1, 
1408AF640117,本科生,女,经2014-1, 
1408AF640118,本科生,男,经2014-1, 
1408AF640119,本科生,男,经2014-1, 
1408AF640123,本科生,男,经2014-1, 
1408AF640124,本科生,男,经2014-1, 
1408AF640125,本科生,男,经2014-1, 
1408AF640126,本科生,男,经2014-1, 
1408AF640127,本科生,男,经2014-1, 
1409AC140101,本科生,女,电信2014-1, 
1409AC140102,本科生,女,电信2014-1, 
1409AC140103,本科生,女,电信2014-1, 
1409AC140104,本科生,女,电信2014-1, 
1409AC140106,本科生,女,电信2014-1, 
1409AC140107,本科生,女,电信2014-1, 
1409AC140108,本科生,女,电信2014-1, 
1409AC140109,本科生,男,电信2014-1, 
1409AC140110,本科生,男,电信2014-1, 
1409AC140111,本科生,男,电信2014-1, 
1409AC140112,本科生,男,电信2014-1, 
1409AC140113,本科生,男,电信2014-1, 
1409AC140115,本科生,男,电信2014-1, 
1409AC140116,本科生,男,电信2014-1, 
1409AC140119,本科生,男,电信2014-1, 
1409AC140120,本科生,男,电信2014-1, 
1409AC140121,本科生,男,电信2014-1, 
1409AC140122,本科生,男,电信2014-1, 
1409AC140125,本科生,男,电信2014-1, 
1409AC140127,本科生,男,电信2014-1, 
1409AC140128,本科生,男,电信2014-1, 
1409AC140129,本科生,男,电信2014-1, 
1409AC140202,本科生,女,电信2014-2, 
1409AC140204,本科生,女,电信2014-2, 
1409AC140205,本科生,女,电信2014-2, 
1409AC140206,本科生,女,电信2014-2, 
1409AC140207,本科生,女,电信2014-2, 
1409AC140208,本科生,女,电信2014-2, 
1409AC140209,本科生,男,电信2014-2, 
1409AC140211,本科生,男,电信2014-2, 
1409AC140212,本科生,男,电信2014-2, 
1409AC140213,本科生,男,电信2014-2, 
1409AC140214,本科生,男,电信2014-2, 
1409AC140216,本科生,男,电信2014-2, 
1409AC140217,本科生,男,电信2014-2, 
1409AC140218,本科生,男,电信2014-2, 
1409AC140219,本科生,男,电信2014-2, 
1409AC140220,本科生,男,电信2014-2, 
1409AC140221,本科生,男,电信2014-2, 
1409AC140222,本科生,男,电信2014-2, 
1409AC140223,本科生,男,电信2014-2, 
1409AC140224,本科生,男,电信2014-2, 
1409AC140226,本科生,男,电信2014-2, 
1409AC140228,本科生,男,电信2014-2, 
1409AC140301,本科生,女,电信2014-3, 
1409AC140302,本科生,女,电信2014-3, 
1409AC140303,本科生,女,电信2014-3, 
1409AC140304,本科生,女,电信2014-3, 
1409AC140305,本科生,女,电信2014-3, 
1409AC140306,本科生,女,电信2014-3, 
1409AC140307,本科生,女,电信2014-3, 
1409AC140308,本科生,女,电信2014-3, 
1409AC140309,本科生,男,电信2014-3, 
1409AC140310,本科生,男,电信2014-3, 
1409AC140311,本科生,男,电信2014-3, 
1409AC140312,本科生,男,电信2014-3, 
1409AC140313,本科生,男,电信2014-3, 
1409AC140314,本科生,男,电信2014-3, 
1409AC140315,本科生,男,电信2014-3, 
1409AC140316,本科生,男,电信2014-3, 
1409AC140317,本科生,男,电信2014-3, 
1409AC140318,本科生,男,电信2014-3, 
1409AC140319,本科生,男,电信2014-3, 
1409AC140320,本科生,男,电信2014-3, 
1409AC140324,本科生,男,电信2014-3, 
1409AC140325,本科生,男,电信2014-3, 
1409AC140327,本科生,男,电信2014-3, 
1409AC140328,本科生,男,电信2014-3, 
1409AC140401,本科生,女,电信2014-4, 
1409AC140402,本科生,女,电信2014-4, 
1409AC140403,本科生,女,电信2014-4, 
1409AC140404,本科生,女,电信2014-4, 
1409AC140405,本科生,女,电信2014-4, 
1409AC140406,本科生,女,电信2014-4, 
1409AC140407,本科生,女,电信2014-4, 
1409AC140408,本科生,男,电信2014-4, 
1409AC140410,本科生,男,电信2014-4, 
1409AC140412,本科生,男,电信2014-4, 
1409AC140413,本科生,男,电信2014-4, 
1409AC140414,本科生,男,电信2014-4, 
1409AC140415,本科生,男,电信2014-4, 
1409AC140416,本科生,男,电信2014-4, 
1409AC140417,本科生,男,电信2014-4, 
1409AC140418,本科生,男,电信2014-4, 
1409AC140420,本科生,男,电信2014-4, 
1409AC140421,本科生,男,电信2014-4, 
1409AC140422,本科生,男,电信2014-4, 
1409AC140424,本科生,男,电信2014-4, 
1409AC140426,本科生,男,电信2014-4, 
1409AC140428,本科生,男,电信2014-4, 
1409AC240101,本科生,女,电子2014-1, 
1409AC240102,本科生,女,电子2014-1, 
1409AC240103,本科生,女,电子2014-1, 
1409AC240104,本科生,女,电子2014-1, 
1409AC240109,本科生,男,电子2014-1, 
1409AC240112,本科生,男,电子2014-1, 
1409AC240113,本科生,男,电子2014-1, 
1409AC240115,本科生,男,电子2014-1, 
1409AC240119,本科生,男,电子2014-1, 
1409AC240120,本科生,男,电子2014-1, 
1409AC240121,本科生,男,电子2014-1, 
1409AC240122,本科生,男,电子2014-1, 
1409AC240124,本科生,男,电子2014-1, 
1409AC240125,本科生,男,电子2014-1, 
1409AC240127,本科生,男,电子2014-1, 
1409AC240128,本科生,男,电子2014-1, 
1409AC240129,本科生,男,电子2014-1, 
1409AC240202,本科生,女,电子2014-2, 
1409AC240203,本科生,女,电子2014-2, 
1409AC240204,本科生,女,电子2014-2, 
1409AC240205,本科生,女,电子2014-2, 
1409AC240206,本科生,女,电子2014-2, 
1409AC240207,本科生,女,电子2014-2, 
1409AC240208,本科生,男,电子2014-2, 
1409AC240209,本科生,男,电子2014-2, 
1409AC240211,本科生,男,电子2014-2, 
1409AC240212,本科生,男,电子2014-2, 
1409AC240213,本科生,男,电子2014-2, 
1409AC240215,本科生,男,电子2014-2, 
1409AC240217,本科生,男,电子2014-2, 
1409AC240219,本科生,男,电子2014-2, 
1409AC240220,本科生,男,电子2014-2, 
1409AC240223,本科生,男,电子2014-2, 
1409AC240224,本科生,男,电子2014-2, 
1409AC240225,本科生,男,电子2014-2, 
1409AC240226,本科生,男,电子2014-2, 
1409AC240227,本科生,男,电子2014-2, 
1409AC240229,本科生,男,电子2014-2, 
1409AC240230,本科生,男,电子2014-2, 
1409AC240231,本科生,男,电子2014-2, 
1409AC340102,本科生,女,应物2014-1, 
1409AC340107,本科生,男,应物2014-1, 
1409AC340109,本科生,男,应物2014-1, 
1409AC340111,本科生,男,应物2014-1, 
1409AC340113,本科生,男,应物2014-1, 
1409AC340114,本科生,男,应物2014-1, 
1409AC340115,本科生,男,应物2014-1, 
1409AC340118,本科生,男,应物2014-1, 
1409AC340119,本科生,男,应物2014-1, 
1409AC340120,本科生,男,应物2014-1, 
1409AC340121,本科生,男,应物2014-1, 
1409AC340122,本科生,男,应物2014-1, 
1409AC340123,本科生,男,应物2014-1, 
1409AC340124,本科生,男,应物2014-1, 
1409AC340125,本科生,男,应物2014-1, 
1409AC340201,本科生,女,应物2014-2, 
1409AC340203,本科生,女,应物2014-2, 
1409AC340204,本科生,女,应物2014-2, 
1409AC340205,本科生,女,应物2014-2, 
1409AC340206,本科生,男,应物2014-2, 
1409AC340209,本科生,男,应物2014-2, 
1409AC340210,本科生,男,应物2014-2, 
1409AC340211,本科生,男,应物2014-2, 
1409AC340212,本科生,男,应物2014-2, 
1409AC340214,本科生,男,应物2014-2, 
1409AC340215,本科生,男,应物2014-2, 
1409AC340216,本科生,男,应物2014-2, 
1409AC340217,本科生,男,应物2014-2, 
1409AC340220,本科生,男,应物2014-2, 
1409AC340221,本科生,男,应物2014-2, 
1409AC340222,本科生,男,应物2014-2, 
1409AC340225,本科生,男,应物2014-2, 
1409AC440106,本科生,女,光电2014-1, 
1409AC440107,本科生,女,光电2014-1, 
1409AC440109,本科生,男,光电2014-1, 
1409AC440112,本科生,男,光电2014-1, 
1409AC440113,本科生,男,光电2014-1, 
1409AC440114,本科生,男,光电2014-1, 
1409AC440115,本科生,男,光电2014-1, 
1409AC440116,本科生,男,光电2014-1, 
1409AC440117,本科生,男,光电2014-1, 
1409AC440118,本科生,男,光电2014-1, 
1409AC440120,本科生,男,光电2014-1, 
1409AC440121,本科生,男,光电2014-1, 
1409AC440124,本科生,男,光电2014-1, 
1409AC440125,本科生,男,光电2014-1, 
1409AC440128,本科生,男,光电2014-1, 
1410AC140101,本科生,女,信计2014-1, 
1410AC140102,本科生,女,信计2014-1, 
1410AC140104,本科生,女,信计2014-1, 
1410AC140105,本科生,女,信计2014-1, 
1410AC140107,本科生,女,信计2014-1, 
1410AC140108,本科生,女,信计2014-1, 
1410AC140109,本科生,男,信计2014-1, 
1410AC140110,本科生,男,信计2014-1, 
1410AC140113,本科生,男,信计2014-1, 
1410AC140114,本科生,男,信计2014-1, 
1410AC140116,本科生,男,信计2014-1, 
1410AC140117,本科生,男,信计2014-1, 
1410AC140118,本科生,男,信计2014-1, 
1410AC140121,本科生,男,信计2014-1, 
1410AC140123,本科生,男,信计2014-1, 
1410AC140125,本科生,男,信计2014-1, 
1410AC140127,本科生,男,信计2014-1, 
1410AC140128,本科生,男,信计2014-1, 
1410AC140129,本科生,男,信计2014-1, 
1410AC140201,本科生,女,信计2014-2, 
1410AC140202,本科生,女,信计2014-2, 
1410AC140203,本科生,女,信计2014-2, 
1410AC140204,本科生,女,信计2014-2, 
1410AC140205,本科生,女,信计2014-2, 
1410AC140206,本科生,女,信计2014-2, 
1410AC140207,本科生,女,信计2014-2, 
1410AC140209,本科生,男,信计2014-2, 
1410AC140211,本科生,男,信计2014-2, 
1410AC140213,本科生,男,信计2014-2, 
1410AC140214,本科生,男,信计2014-2, 
1410AC140215,本科生,男,信计2014-2, 
1410AC140216,本科生,男,信计2014-2, 
1410AC140217,本科生,男,信计2014-2, 
1410AC140220,本科生,男,信计2014-2, 
1410AC140221,本科生,男,信计2014-2, 
1410AC140222,本科生,男,信计2014-2, 
1410AC140223,本科生,男,信计2014-2, 
1410AC140225,本科生,男,信计2014-2, 
1410AC140226,本科生,男,信计2014-2, 
1410AC140227,本科生,男,信计2014-2, 
1410AC140228,本科生,男,信计2014-2, 
1410AC140229,本科生,男,信计2014-2, 
1410AC440102,本科生,女,应数2014-1, 
1410AC440103,本科生,女,应数2014-1, 
1410AC440105,本科生,女,应数2014-1, 
1410AC440106,本科生,女,应数2014-1, 
1410AC440107,本科生,女,应数2014-1, 
1410AC440108,本科生,女,应数2014-1, 
1410AC440109,本科生,女,应数2014-1, 
1410AC440111,本科生,女,应数2014-1, 
1410AC440112,本科生,女,应数2014-1, 
1410AC440114,本科生,女,应数2014-1, 
1410AC440115,本科生,女,应数2014-1, 
1410AC440116,本科生,女,应数2014-1, 
1410AC440117,本科生,男,应数2014-1, 
1410AC440119,本科生,男,应数2014-1, 
1410AC440120,本科生,男,应数2014-1, 
1410AC440121,本科生,男,应数2014-1, 
1410AC440122,本科生,男,应数2014-1, 
1410AC440123,本科生,男,应数2014-1, 
1410AC440124,本科生,男,应数2014-1, 
1410AC440125,本科生,男,应数2014-1, 
1410AC440127,本科生,男,应数2014-1, 
1410AC440130,本科生,男,应数2014-1, 
1410AC540101,本科生,女,统计2014-1, 
1410AC540103,本科生,女,统计2014-1, 
1410AC540104,本科生,女,统计2014-1, 
1410AC540105,本科生,女,统计2014-1, 
1410AC540107,本科生,女,统计2014-1, 
1410AC540113,本科生,女,统计2014-1, 
1410AC540114,本科生,女,统计2014-1, 
