年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
22,144,博士,5000-10000,河北省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",18 - 28,144 - 164,不限,0-0,河北省,不限,不限,5000,10000,7500,18,28,23,144,164,154,0,0,0
62,166,高中,2000以下,河北省,丧偶,已购房(无贷款),"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",55 - 60,175 - 211,高中,"2000-5000,5000-10000,10000-20000,20000-50000",河北省,不限,已购房(无贷款),2000,2000,2000,55,60,57.5,175,211,193,5000,5000,5000
22,154,本科,2000-5000,河北省,丧偶,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",18 - 27,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",河北省,不限,不限,2000,5000,3500,18,27,22.5,160,211,185.5,0,0,0
28,150,本科,5000-10000,内蒙古自治区,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",23 - 34,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,不限,5000,10000,7500,23,34,28.5,160,211,185.5,0,0,0
58,166,大专,2000-5000,内蒙古自治区,离异,以后再告诉你,"['天空', '蓝', '蓝', '忧郁', '日子', '自由', '自由', '孤单', '日子', '背影', '份', '孤独', '身边', '少', '份', '快乐', '日子', '心灵', '份', '宁静', '面容', '添', '一丝', '忧郁', '有人', '心疼', '一份', '孤独', '有人', '羡慕', '一份', '宁静', '等待']",52 - 57,166 - 186,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,"以后再告诉你,与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",2000,5000,3500,52,57,54.5,166,186,176,0,0,0
60,163,初中,2000以下,内蒙古自治区,丧偶,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",53 - 64,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,已购房(无贷款),2000,2000,2000,53,64,58.5,160,211,185.5,0,0,0
22,154,高中,5000-10000,内蒙古自治区,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",18 - 27,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,不限,5000,10000,7500,18,27,22.5,160,211,185.5,0,0,0
61,160,高中,2000以下,内蒙古自治区,离异,以后再告诉你,"['责任心', '身体健康', '心态', '爱', '干净', '整洁', '希望', '责任心', '大气', '不良嗜好', '身体健康', '子女', '住在一起', '非诚', '勿扰']",55 - 64,165 - 180,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,"以后再告诉你,与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",2000,2000,2000,55,64,59.5,165,180,172.5,0,0,0
64,164,初中,2000-5000,内蒙古自治区,丧偶,以后告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",58 - 69,164 - 184,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,58,69,63.5,164,184,174,0,0,0
36,151,中专/职高/技校,5000-10000,内蒙古自治区,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",18 - 28,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,不限,5000,10000,7500,18,28,23,160,211,185.5,0,0,0
